site_id,date,NDVI
WL-BUF-03,2025-08,0.3792
WL-BUF-03,2025-09,0.476
WL-BUF-03,2025-10,0.4703
WL-BUF-03,2025-11,0.5175
WL-BUF-03,2025-12,0.53
WL-BUF-03,2026-01,0.5199
WL-BUF-03,2026-02,0.4909
WL-BUF-03,2026-03,0.5437
WL-BUF-03,2026-04,0.2718
WL-BUF-03,2026-05,0.5246
WL-BUF-03,2026-06,0.4348
WL-BUF-03,2026-07,0.3936
WL-BUF-04,2023-01,0.6876
WL-BUF-04,2023-02,0.7494
WL-BUF-04,2023-03,0.7642
WL-BUF-04,2023-04,0.7113
WL-BUF-04,2023-06,0.718
WL-BUF-04,2023-07,0.5353
WL-BUF-04,2023-08,0.4702
WL-BUF-04,2023-09,0.3798
WL-BUF-04,2023-10,0.493
WL-BUF-04,2023-11,0.5458
WL-BUF-04,2023-12,0.6839
WL-BUF-04,2024-01,0.601
WL-BUF-04,2024-02,0.7277
WL-BUF-04,2024-03,0.6975
WL-BUF-04,2024-04,0.7323
WL-BUF-04,2024-05,0.7193
WL-BUF-04,2024-06,0.6266
WL-BUF-04,2024-07,0.5538
WL-BUF-04,2024-08,0.3364
WL-BUF-04,2024-09,0.3525
WL-BUF-04,2024-10,0.4448
WL-BUF-04,2024-11,0.5945
WL-BUF-04,2024-12,0.6587
WL-BUF-04,2025-01,0.7434
WL-BUF-04,2025-03,0.7648
WL-BUF-04,2025-04,0.7941
WL-BUF-04,2025-05,0.7799
WL-BUF-04,2025-06,0.6816
WL-BUF-04,2025-07,0.6175
WL-BUF-04,2025-08,0.4093
WL-BUF-04,2025-09,0.4686
WL-BUF-04,2025-10,0.4796
WL-BUF-04,2025-11,0.5631
WL-BUF-04,2025-12,0.634
WL-BUF-04,2026-01,0.688
WL-BUF-04,2026-02,0.689
WL-BUF-04,2026-03,0.7473
WL-BUF-04,2026-04,0.5242
WL-BUF-04,2026-05,0.7637
WL-BUF-04,2026-06,0.6102
WL-BUF-04,2026-07,0.501
WL-BUF-05,2023-01,0.6585
WL-BUF-05,2023-02,0.7329
WL-BUF-05,2023-03,0.7511
WL-BUF-05,2023-04,0.6965
WL-BUF-05,2023-06,0.7071
WL-BUF-05,2023-07,0.5235
WL-BUF-05,2023-08,0.4601
WL-BUF-05,2023-09,0.3652
WL-BUF-05,2023-10,0.4568
WL-BUF-05,2023-11,0.5169
WL-BUF-05,2023-12,0.6532
WL-BUF-05,2024-01,0.6008
WL-BUF-05,2024-02,0.7072
WL-BUF-05,2024-03,0.6765
WL-BUF-05,2024-04,0.7134
WL-BUF-05,2024-05,0.7012
WL-BUF-05,2024-06,0.6115
WL-BUF-05,2024-07,0.5351
WL-BUF-05,2024-08,0.3198
WL-BUF-05,2024-09,0.331
WL-BUF-05,2024-10,0.406
WL-BUF-05,2024-11,0.5534
WL-BUF-05,2024-12,0.6255
WL-BUF-05,2025-01,0.7232
WL-BUF-05,2025-03,0.7458
WL-BUF-05,2025-04,0.7791
WL-BUF-05,2025-05,0.766
WL-BUF-05,2025-06,0.6604
WL-BUF-05,2025-07,0.5913
WL-BUF-05,2025-08,0.3868
WL-BUF-05,2025-09,0.4332
WL-BUF-05,2025-10,0.4383
WL-BUF-05,2025-11,0.5173
WL-BUF-05,2025-12,0.5856
WL-BUF-05,2026-01,0.6575
WL-BUF-05,2026-02,0.6577
WL-BUF-05,2026-03,0.7202
WL-BUF-05,2026-04,0.4963
WL-BUF-05,2026-05,0.7373
WL-BUF-05,2026-06,0.585
WL-BUF-05,2026-07,0.483
WL-BUF-06,2023-01,0.6153
WL-BUF-06,2023-02,0.6296
WL-BUF-06,2023-03,0.6612
WL-BUF-06,2023-04,0.5648
WL-BUF-06,2023-06,0.591
WL-BUF-06,2023-07,0.5203
WL-BUF-06,2023-08,0.4705
WL-BUF-06,2023-09,0.4259
WL-BUF-06,2023-10,0.5184
WL-BUF-06,2023-11,0.5542
WL-BUF-06,2023-12,0.6429
WL-BUF-06,2024-01,0.6148
WL-BUF-06,2024-02,0.6282
